X1,X2,Y
15,19,1
46,69,1
80,73,0
41,91,1
1,62,1
82,50,0
96,89,0
6,29,1
72,63,0
31,62,1
2,30,1
1,60,1
29,85,1
50,29,0
54,9,0
19,6,1
42,75,1
90,25,0
22,76,1
85,37,0
32,22,1
54,99,0
4,25,1
20,16,1
7,44,1
26,46,1
2,42,1
53,49,0
13,26,1
14,46,1
60,34,0
29,16,1
10,49,1
59,75,0
50,27,0
4,62,1
100,100,0
8,42,1
90,95,0
90,73,0
22,54,1
17,51,1
73,67,0
83,75,0
86,42,0
63,46,0
11,72,1
55,1,0
7,99,1
62,56,0
79,44,0
69,53,0
51,51,0
69,32,0
24,24,1
92,99,0
49,52,1
87,52,0
73,18,0
65,42,0
47,68,1
29,5,1
34,39,1
100,9,0
14,66,1
64,39,0
19,6,1
85,53,0
58,57,0
64,74,0
32,28,1
38,79,1
98,11,0
14,72,1
59,4,0
57,12,0
35,80,1
56,55,0
70,88,0
49,37,1
57,13,0
41,16,1
5,17,1
86,88,0
37,58,1
42,40,1
47,42,1
41,48,1
13,57,1
91,19,0
0,39,1
20,100,1
37,21,1
35,54,1
39,21,1
80,60,0
47,93,1
61,13,0
17,77,1
27,38,1
